Accession ID	Collection date	Submission date	Location
EPI_ISL_17456090	2015-07-15	2018-10-29	South America / Brazil / Amazonas
EPI_ISL_17456091	2017-03-17	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456092	2015-07-15	2018-10-29	South America / Brazil / Amazonas
EPI_ISL_17456093	2017-03-02	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456094	2016-04-19	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456095	2017-03-15	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456096	2017-03-17	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456097	2017-03-17	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456098	2017-02-22	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456099	2016-04-01	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456100	2016-04-14	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456101	2016-04-19	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456102	2016-04-07	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456103	2016-04-16	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456104	2017-03-03	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456105	2016-04-07	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456106	2016-04-19	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456107	2017-03-20	2018-10-29	South America / Brazil / Amazonas
EPI_ISL_17456108	2017-03-02	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456109	2017-03-17	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456110	2016-06-20	2017-03-02	South America / Brazil
EPI_ISL_17456112	2016-04-19	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456113	2016-04-15	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456114	2016-04-15	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456116	2016-01-31	2018-10-29	South America / Brazil / Amazonas
EPI_ISL_17456117	2015-07-15	2018-10-29	South America / Brazil / Amazonas
EPI_ISL_17456118	2016-04-14	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456119	2016-04-13	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456120	2017-03-05	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456121	2016-04-07	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456122	2016-03-30	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456123	2016-04-14	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456124	2016-03-30	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456125	2016-04-17	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456126	2016-04-09	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456127	2016-04-17	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456128	2017-02-27	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456129	2016-06-17	2017-03-02	South America / Brazil
EPI_ISL_17456130	2016-04-01	2017-03-02	South America / Brazil / Alagoas
EPI_ISL_17456131	2017-02-20	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456132	2017-02-27	2018-10-29	South America / Brazil / Roraima
EPI_ISL_17456702	2017-05-16	2019-02-13	South America / Brazil
EPI_ISL_17456704	2017-01-25	2020-05-27	South America / Brazil
EPI_ISL_17456705	2017-01-25	2020-05-27	South America / Brazil
EPI_ISL_17456706	2017-01-24	2020-05-27	South America / Brazil
EPI_ISL_17456709	2017-01-26	2020-05-27	South America / Brazil
EPI_ISL_17456710	2017-01-26	2020-05-27	South America / Brazil
EPI_ISL_17456743	2015-02-25	2021-11-01	South America / Brazil / Amapa
EPI_ISL_17456744	2015-01-09	2021-11-01	South America / Brazil / Amapa
EPI_ISL_17456746	2015-02-03	2021-11-01	South America / Brazil / Amapa
EPI_ISL_17456748	2015-02-20	2021-11-01	South America / Brazil / Amapa
EPI_ISL_17456750	2015-02-24	2021-11-01	South America / Brazil / Amapa
EPI_ISL_17456751	2016-03-11	2021-11-01	South America / Brazil / Amapa
EPI_ISL_17456752	2015-02-03	2021-11-01	South America / Brazil / Amapa
EPI_ISL_17456785	2016-01-14	2019-05-16	South America / Brazil / Rio Grande do Norte
EPI_ISL_17456786	2016-01-13	2019-05-16	South America / Brazil / Rio Grande do Norte
EPI_ISL_17456787	2016-01-14	2019-05-16	South America / Brazil / Rio Grande do Norte
EPI_ISL_17456796	2017-02-23	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456798	2017-02-21	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456799	2017-02-23	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456801	2017-03-08	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456802	2017-02-21	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456803	2017-02-23	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456804	2017-03-24	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456805	2017-03-02	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456807	2017-02-21	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456808	2017-03-01	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456809	2017-02-17	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456810	2017-02-23	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456811	2017-03-20	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456813	2017-03-21	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456814	2017-03-02	2022-01-26	South America / Brazil / Tocantins
EPI_ISL_17456831	2022-05-26	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456832	2022-01-26	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456833	2022-02-09	2022-05-24	South America / Brazil / Tocantins
EPI_ISL_17456834	2022-01-26	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456835	2022-06-22	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456836	2022-02-07	2022-05-24	South America / Brazil / Tocantins
EPI_ISL_17456837	2022-06-24	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456838	2022-01-25	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456839	2022-05-29	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456840	2022-02-07	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456841	2022-06-24	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456842	2022-06-21	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456843	2021-11-18	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456844	2022-07-20	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456845	2022-05-27	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456846	2022-01-24	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456847	2021-10-08	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456848	2021-07-30	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456849	2022-01-31	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456850	2021-09-14	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456851	2022-07-23	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456852	2022-01-21	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456853	2022-06-26	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456854	2022-01-22	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456855	2022-01-31	2022-05-23	South America / Brazil / Tocantins
EPI_ISL_17456856	2022-07-24	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456857	2022-07-14	2022-09-18	South America / Brazil / Tocantins
EPI_ISL_17456859	2018-03-28	2018-11-30	South America / Brazil / Rio de Janeiro
EPI_ISL_17456860	2017-04-27	2022-03-15	South America / Brazil / Minas Gerais
EPI_ISL_17456861	2018-03-16	2019-09-06	South America / Brazil / Mato Grosso
EPI_ISL_17456862	2018-03-09	2019-09-06	South America / Brazil / Mato Grosso
EPI_ISL_17456863	2018-03-16	2019-09-06	South America / Brazil / Mato Grosso
EPI_ISL_17456864	2018-03-08	2019-09-06	South America / Brazil / Mato Grosso
EPI_ISL_17456865	2017-05-02	2022-03-15	South America / Brazil / Minas Gerais
EPI_ISL_17456866	2017-04-28	2022-03-15	South America / Brazil / Minas Gerais
EPI_ISL_17456867	2018-03-08	2019-09-06	South America / Brazil / Mato Grosso
EPI_ISL_17456868	2018-03-08	2019-09-06	South America / Brazil / Mato Grosso
EPI_ISL_17456869	2018-03-06	2019-09-06	South America / Brazil / Mato Grosso
