Accession ID	Collection date	Submission date	Location
EPI_ISL_18002658	2019-03-27	2020-05-06	South America / Brazil
EPI_ISL_18002691	2016-07-25	2020-05-12	South America / Brazil
EPI_ISL_18002705	2016-01-14	2016-03-16	South America / Brazil
EPI_ISL_18002706	2016-01-29	2016-03-16	South America / Brazil
EPI_ISL_18002709	2015-05-13	2017-06-14	South America / Brazil / Pernambuco
EPI_ISL_18002827	2016-05-05	2018-09-07	South America / Brazil
EPI_ISL_18002828	2016-04-19	2018-09-07	South America / Brazil
EPI_ISL_18002829	2016-04-19	2018-09-07	South America / Brazil
EPI_ISL_18002830	2016-07-27	2018-09-07	South America / Brazil
EPI_ISL_18002831	2016-07-19	2018-09-07	South America / Brazil
EPI_ISL_18002832	2016-07-12	2018-09-07	South America / Brazil
EPI_ISL_18002833	2016-07-05	2018-09-07	South America / Brazil
EPI_ISL_18002834	2016-06-28	2018-09-07	South America / Brazil
EPI_ISL_18002835	2016-06-16	2018-09-07	South America / Brazil
EPI_ISL_18002836	2016-06-08	2018-09-07	South America / Brazil
EPI_ISL_18002837	2016-06-03	2018-09-07	South America / Brazil
EPI_ISL_18002838	2016-05-12	2018-09-07	South America / Brazil
EPI_ISL_18002840	2016-05-24	2018-09-07	South America / Brazil
EPI_ISL_18002841	2016-04-26	2018-09-07	South America / Brazil
EPI_ISL_18002842	2016-05-17	2018-09-07	South America / Brazil
EPI_ISL_18002843	2016-05-10	2018-09-07	South America / Brazil
EPI_ISL_18002844	2016-04-26	2018-09-07	South America / Brazil
EPI_ISL_18002845	2016-05-03	2018-09-07	South America / Brazil
EPI_ISL_18002846	2016-05-19	2018-09-07	South America / Brazil
EPI_ISL_18002847	2016-05-24	2018-09-07	South America / Brazil
EPI_ISL_18002848	2016-06-02	2018-09-07	South America / Brazil
EPI_ISL_18002856	2016-04-30	2018-09-07	South America / Brazil
EPI_ISL_18002858	2016-06-09	2018-09-07	South America / Brazil
EPI_ISL_18002896	2015-07-15	2016-03-18	South America / Brazil
EPI_ISL_18002899	2015-08-01	2016-03-18	South America / Brazil
EPI_ISL_18002909	2015-07-01	2016-03-18	South America / Brazil
EPI_ISL_18002917	2016-06-14	2016-09-01	South America / Brazil
EPI_ISL_18002953	2016-01-08	2017-02-17	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002961	2016-02-10	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002962	2016-02-02	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002963	2016-02-10	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002964	2016-01-25	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002965	2016-01-29	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002966	2016-01-05	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002967	2016-01-25	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002968	2016-01-23	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002969	2016-01-30	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002970	2016-01-20	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002971	2016-01-14	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002972	2016-01-25	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002973	2016-01-14	2018-11-26	South America / Brazil / Amazonas / Manaus
EPI_ISL_18002974	2016-01-26	2018-11-26	South America / Brazil / Amazonas / Manaus
