"","Virus.name","Lineage","Accession.ID","Collection.date","Location","Host","Passage","Specimen","Additional.host.information","Sequencing.technology","Assembly.method","Sequence.Length","Comment","Comment.type","Submission.date","FU","TAT","Year","Month","MMWR.MMWRyear","MMWR.MMWRweek","MMWR.MMWRday","epi_year","epi_week","EW","Virus"
"1","zikav/monkey/brazil/un-feevale-ag5643/2019","african","epi_isl_18002658",2019-03-27,"south america / brazil","other: alouatta guariba","original","other: liver",NA,"illumina","geneious v. 9.1.8", 1500,NA,NA,2020-05-06,NA, 406,2019, 3,2019,  13,   4,2019,13,201913,"Zika"
"2","hzikav/brazil/un-ul-800/2016","asian","epi_isl_18002691",2016-07-25,"south america / brazil","human","original",NA,NA,"unknown",NA,10676,"gap of 1 nucleotides when compared to the reference sequence.","info",2020-05-12,NA,1387,2016, 7,2016,  30,   2,2016,30,201630,"Zika"
"3","hzikav/brazil/un-lncc-u1/2016","asian","epi_isl_18002705",2016-01-14,"south america / brazil","human","original","urine",NA,"illumina","ray v. 2.2",10807,NA,NA,2016-03-16,NA,  62,2016, 1,2016,   2,   5,2016, 2,201602,"Zika"
"4","hzikav/brazil/un-lncc-s1/2016","asian","epi_isl_18002706",2016-01-29,"south america / brazil","human","original","saliva",NA,"illumina","ray v. 2.2.0",10807,NA,NA,2016-03-16,NA,  47,2016, 1,2016,   4,   6,2016, 4,201604,"Zika"
"5","hzikav/brazil/pe-mit-243/2015","asian","epi_isl_18002709",2015-05-13,"south america / brazil / pernambuco","human","original",NA,NA,"illumina","trinityrnaseq v. r2013-02-25",10803,NA,NA,2017-06-14,"pernambuco", 763,2015, 5,2015,  19,   4,2015,19,201519,"Zika"
"6","hzikav/brazil/un-usamriid-09/2016","asian","epi_isl_18002827",2016-05-05,"south america / brazil","human","original","urine",NA,"illumina","bowtie2 v. 2.1.6",10792,NA,NA,2018-09-07,NA, 855,2016, 5,2016,  18,   5,2016,18,201618,"Zika"
"7","hzikav/brazil/un-usamriid-17/2016","asian","epi_isl_18002828",2016-04-19,"south america / brazil","human","original","urine",NA,"illumina","bowtie2 v. 2.1.6",10752,NA,NA,2018-09-07,NA, 871,2016, 4,2016,  16,   3,2016,16,201616,"Zika"
"8","hzikav/brazil/un-usamriid-27/2016","asian","epi_isl_18002829",2016-04-19,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10753,NA,NA,2018-09-07,NA, 871,2016, 4,2016,  16,   3,2016,16,201616,"Zika"
"9","hzikav/brazil/un-usamriid-37/2016","asian","epi_isl_18002830",2016-07-27,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10731,NA,NA,2018-09-07,NA, 772,2016, 7,2016,  30,   4,2016,30,201630,"Zika"
"10","hzikav/brazil/un-usamriid-47/2016","asian","epi_isl_18002831",2016-07-19,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10694,NA,NA,2018-09-07,NA, 780,2016, 7,2016,  29,   3,2016,29,201629,"Zika"
"11","hzikav/brazil/un-usamriid-57/2016","asian","epi_isl_18002832",2016-07-12,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10784,NA,NA,2018-09-07,NA, 787,2016, 7,2016,  28,   3,2016,28,201628,"Zika"
"12","hzikav/brazil/un-usamriid-67/2016","asian","epi_isl_18002833",2016-07-05,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10604,NA,NA,2018-09-07,NA, 794,2016, 7,2016,  27,   3,2016,27,201627,"Zika"
"13","hzikav/brazil/un-usamriid-77/2016","asian","epi_isl_18002834",2016-06-28,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10782,NA,NA,2018-09-07,NA, 801,2016, 6,2016,  26,   3,2016,26,201626,"Zika"
"14","hzikav/brazil/un-usamriid-87/2016","asian","epi_isl_18002835",2016-06-16,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10777,NA,NA,2018-09-07,NA, 813,2016, 6,2016,  24,   5,2016,24,201624,"Zika"
"15","hzikav/brazil/un-usamriid-97/2016","asian","epi_isl_18002836",2016-06-08,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10753,NA,NA,2018-09-07,NA, 821,2016, 6,2016,  23,   4,2016,23,201623,"Zika"
"16","hzikav/brazil/un-usamriid-107/2016","asian","epi_isl_18002837",2016-06-03,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10725,NA,NA,2018-09-07,NA, 826,2016, 6,2016,  22,   6,2016,22,201622,"Zika"
"17","hzikav/brazil/un-usamriid-119/2016","asian","epi_isl_18002838",2016-05-12,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10767,NA,NA,2018-09-07,NA, 848,2016, 5,2016,  19,   5,2016,19,201619,"Zika"
"18","hzikav/brazil/un-usamriid-17es/2016","asian","epi_isl_18002840",2016-05-24,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10752,NA,NA,2018-09-07,NA, 836,2016, 5,2016,  21,   3,2016,21,201621,"Zika"
"19","hzikav/brazil/un-usamriid-17as/2016","asian","epi_isl_18002841",2016-04-26,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10753,NA,NA,2018-09-07,NA, 864,2016, 4,2016,  17,   3,2016,17,201617,"Zika"
"20","hzikav/brazil/un-usamriid-17ds/2016","asian","epi_isl_18002842",2016-05-17,"south america / brazil","human","original","semen",NA,"illumina","bowtie2 v. 2.1.6",10752,NA,NA,2018-09-07,NA, 843,2016, 5,2016,  20,   3,2016,20,201620,"Zika"
